time	cusn	quan	pric	totr	tots	dayw	date	type	ethn	size	cash	estb	qual	loct	stor	phon
616	107	240	0.5	7694	9050	4	430	w	s	m	c	sf	3	1		0
630	107	100	0.65	1676	3300	2	428	w	s	m	c	sf	1	1		0
642	107	120	0.5	1610	6260	1	504	w	s	m	c	sf	5	1		0
545	108	240	1.25	6080	4780	4	507	w	s	m	c	sf	3	1		0
630	108	120	0.85	3900	6050	5	417	w	s	m	c	sf	2	1		0
630	109	180	0.85	3940	4118	3	422	w	a	s	c	s	1		1	0
405	110	60	1.25	1115	840	1	413	kw	s		0	s	1	1	1	0
415	110	65	1.1	335	260	2	428	kw	s		0	s	1	1	1	0
435	110	25	1.1	1625	1376	5	417	kw	s		0	s	1	1	1	0
410	110	35	1.1	2390	945	5	424	kw	s		0	s	1	1	1	0
640	111	60	1	390	230	1	427	kw	a		c	s	4		1	0
545	111	60	1	985	540	2	421	kw	a		c	s	3		1	0
700	112	180	0.75	10700	10494	2	421	w	a	s	c	s	3	2	1	0
550	113	260	0.75	11875	9655	4	416	w	s	m	0	s	1	1	1	1
432	114	240	1.75	4020	3420	5	508	w	a	m	c	sf	3	1		0
459	114	900	0.65	15940	15455	5	424	w	a	lm	c	sf	3	1		0
627	115	200	1.25	6080	4780	4	507	w	a	m	c	sf	3	1		0
650	115	100	0.9	6570	6470	4	423	w	a	m	c	sf	1	1		0
650	115	120	0.85	6570	6470	4	423	w	a	m	c	sf	3	1		0
600	116	120	0.6	15940	15455	5	424	w	a	m	c	s	3	2	1	0
	117	180	0.75	11875	9655	4	416	w		m	c		1			0
342	118	180	0.65	8160	5060	1	427	w	a	m	c	f	3	1	0	0
342	118	200	0.6	8160	5060	1	427	w	a	s	c	f	3	1	0	0
445	119	60	1.5	875	1050	4	507	kw	a		c	s	3	1	1	0
547	120	60	1.25	6080	4780	4	507	w	a	m	c	s	3	2	1	0
600	121	55	1.1	1460	670	4	416	kw	s		0	s	3	1	1	0
602	121	60	1	985	540	2	421	kw	a		0	s	3	1	1	0
725	122	60	0.75	11875	9655	4	416	w	s	m	c	s	1		1	0
755	122	100	0.5	15940	15455	5	424	w	a	lm	c	s	3		1	0
710	123	60	0.85	3940	4118	3	422	w	s	s	0	s	1	1	1	0
725	123	30	0.9	1320	1290	2	505	w	s	m	0	s	3	1	1	0
